Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"fileNameCre = ""creDateGuide.txt""",Chrome 73.0.3683.86,,2019-04-03 16:42:29,2019-04-03 16:42:29,0.000s,PASSED
"fileNameUp = ""upDateGuide.txt""",Chrome 73.0.3683.86,,2019-04-03 16:42:29,2019-04-03 16:42:29,0.000s,PASSED
"workingDirectory = System.getProperty(""user.dir"")",Chrome 73.0.3683.86,,2019-04-03 16:42:29,2019-04-03 16:42:29,0.001s,PASSED
absoluteFilePathCre = workingDirectory + separator + fileNameCre,Chrome 73.0.3683.86,,2019-04-03 16:42:29,2019-04-03 16:42:29,0.001s,PASSED
absoluteFilePathUp = workingDirectory + separator + fileNameUp,Chrome 73.0.3683.86,,2019-04-03 16:42:29,2019-04-03 16:42:29,0.001s,PASSED
try,Chrome 73.0.3683.86,,2019-04-03 16:42:29,2019-04-03 16:42:29,0.004s,PASSED
Finally,Chrome 73.0.3683.86,,2019-04-03 16:42:29,2019-04-03 16:42:29,0.014s,PASSED
waitForAlert(1),Chrome 73.0.3683.86,,2019-04-03 16:42:29,2019-04-03 16:42:30,1.034s,PASSED
"click(findTestObject(""TypeOfService/Type of service-10/Page_ODTS System/button_Cp Nht""))",Chrome 73.0.3683.86,,2019-04-03 16:42:30,2019-04-03 16:42:31,0.178s,PASSED
waitForAlert(1),Chrome 73.0.3683.86,,2019-04-03 16:42:31,2019-04-03 16:42:32,1.018s,PASSED
"click(findTestObject(""TypeOfService/Type of service-10/Page_ODTS System/button_OK""))",Chrome 73.0.3683.86,,2019-04-03 16:42:32,2019-04-03 16:42:32,0.132s,PASSED
"verifyElementText(findTestObject(""TypeOfService/Type of service-10/Page_ODTS System/td_anhtest22""), ""anhtest22"")",Chrome 73.0.3683.86,,2019-04-03 16:42:32,2019-04-03 16:42:32,0.097s,PASSED
CDATE = null,Chrome 73.0.3683.86,,2019-04-03 16:42:32,2019-04-03 16:42:32,0.001s,PASSED
